id,name,country,region,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,total
909a72f566b7bf2a83b2a67ff2574696,C. Santos,portugal,europe,0,0,0,0,1,1,2,1,0,0,4,0,1,1,11
68a127f2511671432a9eb33298ef32bd,J. Reis,portugal,europe,0,0,0,2,0,0,0,0,0,1,3,2,1,2,11
7056ca2f1f4dbd3233dc2abf6c796e1d, L. Barba-Guamán,ecuador,south america,0,0,0,0,0,0,0,5,2,0,1,0,3,0,11
299a9b7fc79c0a35a5c6e4c7b1f992ac, P. M. Chango - Cañaveral,ecuador,south america,0,0,0,0,0,0,0,2,2,3,1,0,3,0,11
699ff7d888e759d7020736c93ab35601, L. Miranda,brazil,south america,0,1,1,1,1,1,1,1,1,0,1,1,1,0,11
d598dd2f4383a6c6f6ae5eec00fe59cc,A. Correia,portugal,europe,0,2,0,0,0,1,0,1,0,3,0,4,0,0,11
98f3e2a77e4ee2650404e61867f674e4,C. Costa,portugal,europe,2,1,2,2,0,1,1,1,0,0,0,1,0,0,11
a963171d25f55718e3deab80d65b5c38, G. Guerrero,ecuador,south america,0,0,0,0,0,0,0,1,1,1,8,0,0,0,11
8c412b06d9e6c1fe03d00d67e75c2aee, R. Pitarma,portugal,europe,0,0,0,0,2,2,1,2,1,2,1,0,0,0,11
9436f6a0a9c189ba4feb2b19b9697fce,M. Jezreel,mexico,north america,1,2,1,3,2,1,0,1,0,0,0,0,0,0,11
c5dd23996444adb84d0d00d498c444f2, F. Paredes,chile,south america,0,0,0,0,2,9,0,0,0,0,0,0,0,0,11
770f0bf0c980d8a32a5f86273fe43535, M. Aristizabal,colombia,south america,0,0,0,0,6,5,0,0,0,0,0,0,0,0,11
8294e5a54b902ac03235ebcb6ade0df6, A. M. Mariano,brazil,south america,0,0,0,0,0,0,0,0,0,0,1,2,4,3,10
765d9298c20b612bf1b8a857c7a615eb, S. B. S. Monteiro,brazil,south america,0,0,0,0,0,0,1,0,0,1,1,1,4,2,10
70d4e8101bc39077f05522b147d55fb2, R. E. Garcia,brazil,south america,0,0,1,0,0,2,1,3,0,0,2,0,0,1,10
3cb8093f44ca08d26411b9ff39e9d74a, P. Teixeira,portugal,europe,0,2,0,0,1,0,0,1,0,1,2,1,0,2,10
179e3dbf103ee76b6aa781668398462d,A. Reis,portugal,europe,1,0,0,0,0,0,1,1,3,3,0,0,0,1,10
7267ac1439683d3fd8b8803b7e397d0b, N. P. Rocha,portugal,europe,0,0,0,0,2,4,1,2,0,0,0,0,0,1,10
6978b952ab101c28547758ef26ebbf03,A. Ferreira,portugal,europe,0,1,1,0,0,0,0,1,1,0,0,0,2,4,10
90a86265af5d35885053f39e2331e78c, R. M. Toasa,ecuador,south america,0,0,0,0,0,0,0,0,0,0,3,3,3,1,10
13de2b6d5b372f1c326c0ebc40506a4a, L. Dias,portugal,europe,0,1,1,3,2,0,2,0,0,0,0,0,1,0,10
4ea59a76ba59d155cc3b9e244c4aa1cb, J. Ferreira,brazil,south america,0,0,0,2,0,0,0,0,2,1,0,1,4,0,10
3698c1e0ba861798c3ba4a670fcb02b1, V. -A. Armijos-Buitrón,ecuador,south america,0,0,0,0,0,0,1,1,1,2,1,2,2,0,10
a7fdb93f1d8088c9cab014e2ec72c6ec, J. Ríos-Zaruma,ecuador,south america,0,0,0,0,0,0,0,0,3,2,0,2,3,0,10
